uhid,station_name,station_country
409,Ofu,American Samoa
404,Auasi,American Samoa
56,Pago Pago,American Samoa
407,Aunuu,American Samoa
408,Tau,American Samoa
339,Hobart,Australia
344,Burnie,Australia
62,Norfolk Island,Australia
335,Spring Bay,Australia
399,Lord Howe,Australia
171,Cocos,Australia
170,Christmas,Australia
680,Macquarie Is.,Australia
256,Exuma Cays,Bahamas (the)
727,Nassau,Bahamas (the)
257,Settlement Point,Bahamas (the)
249,Bridgetown,Barbados
203,Fer. de Noronha,Brazil
204,Trindade,Brazil
201,Peter & Paul Rocks,Brazil
222,"Praia, Cape Verde",Cabo Verde
235,Palmeira,Cabo Verde
705,L. Cornwallis I.,Canada
836,Alert,Canada
35,San Felix,Chile
21,Juan Fernandez,Chile
22,Easter,Chile
599,Diego Ramirez,Chile
737,San Andres,Colombia
24,Penrhyn,Cook Islands (the)
23,Rarotonga,Cook Islands (the)
392,Cocos Island,Costa Rica
251,Guantanamo Bay,Cuba
244,Gibara,Cuba
239,Siboney,Cuba
878,Bullen Bay,Curacao
778,Willemstad,Curacao
296,Sisimiut,Denmark
298,Ilulissat,Denmark
299,Qaqortoq,Denmark
297,Ammassalik,Denmark
808,Thule (Pituffik),Denmark
820,"Nuuk, Godthaab",Denmark
809,Ittoqqortoormiit,Denmark
786,Roseau,Dominica
777,Puerto Plata,Dominican Republic (the)
776,Punta Cana,Dominican Republic (the)
30,Santa Cruz,Ecuador
3,Baltra,Ecuador
402,Lautoka,Fiji
18,Suva,Fiji
15,Papeete,France
178,Crozet,France
16,Rikitea,France
17,Hiva Oa,France
19,Noumea,France
164,Reunion,France
456,Tubuai,France
270,Le Robert,France
179,Saint Paul,France
271,Fort de France,France
272,Pointe-Pitre,France
453,"Leava, Futuna Island",France
31,Nuku Hiva,France
391,Clipperton,France
155,Dzaoudzi,France
455,Rangiroa Atoll,France
180,Kerguelen,France
454,Makemo,French Polynesia
789,Prickley Bay,Grenada
405,Jeremie,Haiti
406,St. Louis du Sud,Haiti
799,Portu-Prince,Haiti
288,Reykjavik,Iceland
153,Minicoy,India
908,Port Blair,India
417,Sadeng,Indonesia
416,Tanjung Lesung,Indonesia
414,Bajor,Indonesia
411,Balikpapan,Indonesia
410,Lungsurannaga,Indonesia
418,Waikelo,Indonesia
163,Benoa,Indonesia
162,Cilicap,Indonesia
161,Jakarta,Indonesia
160,Surabaya,Indonesia
159,Pari,Indonesia
158,Meneng,Indonesia
419,Lembar,Indonesia
914,Meulaboh,Indonesia
420,Saumlaki,Indonesia
133,Ambon,Indonesia
125,Prigi,Indonesia
123,Sabang,Indonesia
122,Sibolga,Indonesia
913,Telukdalam,Indonesia
33,Bitung,Indonesia
107,Padang,Indonesia
782,Port Royal,Jamaica
356,Maisaka,Japan
355,Naha,Japan
354,Aburatsu,Japan
353,Kushimoto,Japan
352,Mera,Japan
351,Ofunato,Japan
348,Hamada,Japan
349,Toyama,Japan
357,Miyakejima,Japan
347,Abashiri,Japan
345,Nakano Shima,Japan
47,Chichijima,Japan
49,Minamitorishima,Japan
350,Kushiro,Japan
358,Hosojima,Japan
359,Naze,Japan
360,Wakkanai,Japan
362,Nagasaki,Japan
363,Nishinoomote,Japan
364,Hakodate,Japan
365,Ishigaki,Japan
375,Hachinohe,Japan
2,"Tarawa, Bairiki",Kiribati
11,Christmas,Kiribati
12,Fanning,Kiribati
13,Kanton,Kiribati
150,Nosy Be,Madagascar
389,Sandakan,Malaysia
320,Cendering,Malaysia
387,Bintulu,Malaysia
386,Kota Kinabalu,Malaysia
385,Tawau,Malaysia
326,Geting,Malaysia
325,Kukup,Malaysia
324,Sedili,Malaysia
323,Tioman,Malaysia
322,Kuantan,Malaysia
144,Penang,Malaysia
388,Miri,Malaysia
321,Johor Baharu,Malaysia
143,Lumut,Malaysia
142,Langkawi,Malaysia
141,Keling,Malaysia
140,Kelang,Malaysia
108,Male,Maldives
109,Gan,Maldives
117,Hanimaadhoo,Maldives
5,Majuro,Marshall Islands (the)
6,Enewetok,Marshall Islands (the)
55,Kwajalein,Marshall Islands (the)
103,Port Louis,Mauritius
105,Rodrigues,Mauritius
90,Socorro,Mexico
36,Guadalupe,Mexico
1,Pohnpei,Micronesia (Federated States of)
29,Kapingamarangi,Micronesia (Federated States of)
54,Chuuk,Micronesia (Federated States of)
8,Yap,Micronesia (Federated States of)
4,Nauru,Nauru
79,Chatham,New Zealand
403,Jackson,New Zealand
669,Port Chalmers,New Zealand
668,Napier,New Zealand
398,Marsden Point,New Zealand
78,Gisborne,New Zealand
70,Auckland,New Zealand
72,Bluff,New Zealand
77,Nelson,New Zealand
665,Timaru,New Zealand
663,Scott Base,New Zealand
71,Wellington,New Zealand
76,Taranaki,New Zealand
667,Lyttelton,New Zealand
74,West Port,New Zealand
73,Tauranga,New Zealand
75,Wanganui,New Zealand
598,Alofi,Niue
823,Nylesund,Norway
7,Malakal,Palau
400,"Lombrum, Manus Is.",Papua New Guinea
63,Wewak,Papua New Guinea
64,Port Moresby,Papua New Guinea
65,Manus,Papua New Guinea
66,Madang,Papua New Guinea
67,Lae,Papua New Guinea
68,Kavieng,Papua New Guinea
48,Anewa Bay,Papua New Guinea
69,Alotau,Papua New Guinea
10,Rabaul,Papua New Guinea
370,Manila,Philippines (the)
371,Legaspi,Philippines (the)
372,Davao,Philippines (the)
373,Jolo,Philippines (the)
379,Cebu,Philippines (the)
380,Puerto Princesa,Philippines (the)
382,Subic Bay,Philippines (the)
654,Currimao,Philippines (the)
655,Lubang,Philippines (the)
211,Ponta Delgada,Portugal
210,"Flores, Santa Cruz",Portugal
218,Funchal,Portugal
216,Porto Grande,Portugal
215,Angra Heroismo,Portugal
212,"Horta, Azores",Portugal
736,"Mayaguez, PR",Puerto Rico
733,"Esperanza, PR",Puerto Rico
735,"Arecibo, PR",Puerto Rico
783,"Fajardo, PR",Puerto Rico
732,"Isabel Segunda, PR",Puerto Rico
243,"Penuelas, PR",Puerto Rico
292,St. Helena,"Saint Helena, Ascension and Tristan da Cunha"
401,Apia,Samoa
225,Sao Tome,Sao Tome and Principe
106,Praslin,Seychelles
121,Pt. La Rue,Seychelles
111,Port Victoria,Seychelles
9,Honiara,Solomon Islands
920,Marion Island,South Africa
205,Arrecife,Spain
206,S.Cruz d. Palma,Spain
217,Las Palmas,Spain
228,Tenerife,Spain
115,Colombo,Sri Lanka
118,Ko Miang,Thailand
38,Nuku'alofa,Tonga
728,Point Fortin,Trinidad and Tobago
248,Portf-Spain,Trinidad and Tobago
25,Funafuti,Tuvalu
290,Port Stanley,United Kingdom of Great Britain and Northern Ireland (the)
104,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the)
291,Ascension,United Kingdom of Great Britain and Northern Ireland (the)
720,South Caicos,United Kingdom of Great Britain and Northern Ireland (the)
259,Bermuda,United Kingdom of Great Britain and Northern Ireland (the)
722,Tristan da Cunha,United Kingdom of Great Britain and Northern Ireland (the)
43,Palmyra Island,United States of America (the)
267,"Mona Is., PR",United States of America (the)
57,"Honolulu, Hawaii",United States of America (the)
45,Jarvis,United States of America (the)
50,Midway,United States of America (the)
51,Wake,United States of America (the)
28,Saipan,United States of America (the)
52,Johnston,United States of America (the)
53,"Apra Harbor, Guam",United States of America (the)
14,French Frigate,United States of America (the)
40,"Adak, Alaska",United States of America (the)
58,Nawiliwili,United States of America (the)
254,Limetree Bay,United States of America (the)
60,"Hilo, Hawaii",United States of America (the)
255,Charlotte Amalie,United States of America (the)
263,"Aguadilla, PR",United States of America (the)
734,"Yabucoa Harbor, PR",United States of America (the)
547,"Barbers Point, HI",United States of America (the)
550,"Massacre Bay, AK",United States of America (the)
552,Kawaihae,United States of America (the)
214,"Lameshur Bay, VI",United States of America (the)
219,"Culebra, PR",United States of America (the)
258,"Christiansted, VI",United States of America (the)
242,"Key West, FL",United States of America (the)
245,"San Juan, PR",United States of America (the)
246,"Magueyes Island, PR",United States of America (the)
59,Kahului,United States of America (the)
61,Mokuoloe,United States of America (the)
46,Port Vila,Vanuatu
