uhid,station_name,station_country
409,Ofu,American Samoa
408,Tau,American Samoa
407,Aunuu,American Samoa
56,Pago Pago,American Samoa
404,Auasi,American Samoa
56,Pago Pago,American Samoa
62,Norfolk Island,Australia
344,Burnie,Australia
339,Hobart,Australia
335,Spring Bay,Australia
680,Macquarie Is.,Australia
399,Lord Howe,Australia
170,Christmas,Australia
171,Cocos,Australia
201,Peter & Paul Rocks,Brazil
204,Trindade,Brazil
203,Fer. de Noronha,Brazil
22,Easter,Chile
35,San Felix,Chile
21,Juan Fernandez,Chile
599,Diego Ramirez,Chile
737,San Andres,Colombia
23,Rarotonga,Cook Islands (the)
24,Penrhyn,Cook Islands (the)
392,Cocos Island,Costa Rica
878,Bullen Bay,Curacao
3,Baltra,Ecuador
30,Santa Cruz,Ecuador
180,Kerguelen,France
155,Dzaoudzi,France
178,Crozet,France
17,Hiva Oa,France
271,Fort de France,France
16,Rikitea,France
15,Papeete,France
271,Fort de France,France
164,Reunion,France
453,"Leava, Futuna Island",France
456,Tubuai,France
455,Rangiroa Atoll,France
31,Nuku Hiva,France
179,Saint Paul,France
19,Noumea,France
454,Makemo,French Polynesia
908,Port Blair,India
153,Minicoy,India
47,Chichijima,Japan
49,Minamitorishima,Japan
36,Guadalupe,Mexico
90,Socorro,Mexico
598,Alofi,Niue
823,Nylesund,Norway
210,"Flores, Santa Cruz",Portugal
211,Ponta Delgada,Portugal
218,Funchal,Portugal
216,Porto Grande,Portugal
215,Angra Heroismo,Portugal
212,"Horta, Azores",Portugal
292,St. Helena,"Saint Helena, Ascension and Tristan da Cunha"
920,Marion Island,South Africa
217,Las Palmas,Spain
205,Arrecife,Spain
228,Tennerife,Spain
206,S.Cruz de Palma,Spain
291,Ascension,United Kingdom of Great Britain and Northern Ireland (the)
290,Port Stanley,United Kingdom of Great Britain and Northern Ireland (the)
259,Bermuda,United Kingdom of Great Britain and Northern Ireland (the)
104,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the)
722,Tristan da Cunha,United Kingdom of Great Britain and Northern Ireland (the)
40,"Adak, Alaska",United States of America (the)
52,Johnston,United States of America (the)
58,Nawiliwili,United States of America (the)
61,Mokuoloe,United States of America (the)
57,"Honolulu, Hawaii",United States of America (the)
59,Kahului,United States of America (the)
552,Kawaihae,United States of America (the)
60,"Hilo, Hawaii",United States of America (the)
242,"Key West, FL",United States of America (the)
245,"San Juan, PR",United States of America (the)
53,Guam,United States of America (the)
51,Wake,United States of America (the)
43,Palmyra Island,United States of America (the)
552,Kawaihae,United States of America (the)
547,"Barbers Point, HI",United States of America (the)
245,"San Juan, PR",United States of America (the)
14,French Frigate,United States of America (the)
28,Saipan,United States of America (the)
50,Midway,United States of America (the)
45,Jarvis,United States of America (the)
391,Clipperton,France
720,South Cacos,United Kingdom of Great Britain and Northern Ireland (the)
778,Willemstad,Curacao
267,"Mona Is., PR", United States of America (the)
263,"Aguadilla, PR",Puerto Rico
735,"Arecibo, PR",Puerto Rico
736,"Mayaguez, PR",Puerto Rico
246,"Magueyes Island, PR",Puerto Rico
243,"Penuelas, PR",Puerto Rico
734,"Yabucoa Harbor, PR",Puerto Rico
783,"Fajardo, PR",Puerto Rico
550,"Massacre Bay, AK",United States of America (the)
214,"Lameshur Bay, VI",United States of America (the)
255,Charlotte Amalie,United States of America (the)
219,"Culebra, PR",United States of America (the)
732,"Isabel Segunda, PR",United States of America (the)
733,"Esperanza, PR",United States of America (the)
258,"Christiansted, VI",United States of America (the)
254,"Limetree Bay, VI",United States of America (the)
272,"Pointe-Pitre",France
270,"Le Robert",France
118,Ko Miang,Thailand
705,L. Cornwallis I., Canada
836,Alert,Canada
298,Ilulissat,Denmark
296,Sisimiut,Denmark
297,Ammassalik,Denmark
299,Qaqortoq,Denmark
820,"Nuuk, Godthaab",Denmark
808,Thule (Pituffik),Denmark
809,Ittoqqortoormiit,Denmark



