uhid,name,country,colonized
50,Midway,United States of America (the),True
35,San Felix,Chile,True
21,Juan Fernandez,Chile,True
52,Johnston,United States of America (the),True
13,Kanton,Kiribati,False
29,Kapingamarangi,Micronesia (Federated States of),False
401,Apia,Samoa,False
56,Pago Pago,American Samoa,True
38,Nuku'alofa,Tonga,False
24,Penrhyn,Cook Islands (the),False
15,Papeete,France,True
22,Easter,Chile,True
31,Nuku Hiva,France,True
58,Nawiliwili,United States of America (the),True
61,Mokuoloe,United States of America (the),True
57,"Honolulu, Hawaii",United States of America (the),True
59,Kahului,United States of America (the),True
552,Kawaihae,United States of America (the),True
60,"Hilo, Hawaii",United States of America (the),True
3,Baltra,Ecuador,False
30,Santa Cruz,Ecuador,False
245,"San Juan, PR",United States of America (the),True
271,Fort de France,France,True
235,Palmeira,Cabo Verde,False
211,Ponta Delgada,Portugal,True
259,Bermuda,United Kingdom of Great Britain and Northern Ireland (the),True
121,Pt. La Rue,Seychelles,False
108,Male,Maldives,False
109,Gan,Maldives,False
171,Cocos,Australia,True
164,Reunion,France,True
371,Legaspi,Philippines (the),False
372,Davao,Philippines (the),False
53,Guam,United States of America (the),True
103,Port Louis,Mauritius,False
105,Rodrigues,Mauritius,False
8,Yap,Micronesia (Federated States of),False
7,Malakal,Palau,False
400,Lombrum,Papua New Guinea,False
9,Honiara,Solomon Islands,False
46,Port Vila,Vanuatu,False
55,Kwajalein,Marshall Islands (the),False
5,Majuro,Marshall Islands (the),False
51,Wake,United States of America (the),True
49,Minamitorishima,Japan,True
2,"Tarawa, Bairiki",Kiribati,False
335,Spring Bay,Australia,True
47,Chichijima,Japan,True
365,Ishigaki,Japan,True
355,Naha,Japan,True
359,Naze,Japan,False
290,Port Stanley,United Kingdom of Great Britain and Northern Ireland (the),True
25,Funafuti,Tuvalu,False
402,Lautoka,Fiji,False
18,Suva,Fiji,False
13,Kanton,Kiribati,False
109,Gan,Maldives,False
117,Hanimaadhoo,Maldives,False
108,Male,Maldives,False
105,Rodrigues,Mauritius,False
103,Port Louis,Mauritius,False
29,Kapingamarangi,Micronesia (Federated States of),False
1,Pohnpei,Micronesia (Federated States of),False
382,Subic Bay,Philippines (the),False
371,Legaspi,Philippines (the),False
372,Davao,Philippines (the),False
370,Manila,Philippines (the),False
121,Pt. La Rue,Seychelles,False
257,Settlement Point,Bahamas (the),False
552,Kawaihae,United States of America (the),True
547,"Barbers Point, HI",United States of America (the),True
245,"San Juan, PR",United States of America (the),True
115,Colombo,Sri Lanka,False
401,Apia,Samoa,False
878,Bullen Bay,Curacao,False
786,Roseau,Dominica,False
402,Lautoka,Fiji,False
271,Fort de France,France,True
878,Bullen Bay,Curacao,False
789,Prickley Bay,Grenada,False
777,Puerto Plata,Dominican Republic (the),False
776,Punta Cana,Dominican Republic (the),False
737,San Andres,Colombia,False
104,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),True
43,Palmyra Island,United States of America (the),True
23,Rarotonga,Cook Islands (the),False
17,Hiva Oa,France,True
33,Bitung,Indonesia,False
345,Nakano Shima,Japan,True
403,Jackson,New Zealand,True
163,Benoa,Indonesia,False
123,Sabang,Indonesia,False
