latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	gloss_id	ssc_id	last_rq_date
-69.0	39.6	Syowa, Antarctica	Antarctica	10	1270	127	95	syow	2015-12-30T22:59:59Z
-68.45	77.967	Davis	Australia	36	1730	173	277	davi	2010-01-27T22:59:59Z
-67.6	62.867	Mawson	Australia	36	1770	177	22	maws	2009-12-20T22:59:59Z
-66.662	140.01	Dumont d'Urville	Antarctica	10	1890	189	131	dumo	2010-08-18T22:59:59Z
-66.283	110.533	Casey	Australia	36	1300	130	278	case	2008-11-15T22:59:59Z
-65.25	295.733	Faraday	Antarctica	10	7000	700	188	vern	2018-12-31T22:59:59Z
-63.395	303.005	Esperanza	Argentina	32	6010	601	185	espr	1998-08-30T22:59:59Z
-62.483	300.333	Base Prat	Chile	152	7300	730	189	prat	2018-12-31T22:59:59Z
-54.805	291.705	Ushuaia	Argentina	32	6000	600	181	ushu	2018-12-31T22:59:59Z
-54.483	158.967	Macquarie Is.	Australia	36	6800	680	130	macq	2007-01-30T22:59:59Z
-51.75	302.067	Port Stanley	United Kingdom of Great Britain and Northern Ireland (the)	826	2900	290	305	stan	2014-01-31T22:59:59Z
-49.345	70.22	Kerguelen	France	250	1800	180	23	kerg	2012-12-31T22:59:59Z
-47.75	294.083	Puerto Deseado	Argentina	32	2860	286	190	dese	2018-12-31T22:59:59Z
-46.867	37.867	Marion Island	South Africa	710	9200	920	20	mais	
-46.6	168.333	Bluff	New Zealand	554	720	72	129	bluf	2019-12-30T22:59:59Z
-46.425	51.87	Crozet	France	250	1780	178	21	croz	2001-07-28T22:59:59Z
-43.983	168.617	Jackson	New Zealand	554	4030	403		jack	2021-12-31T22:59:59Z
-43.947	183.438	Chatham	New Zealand	554	790	79	128	wait	2010-09-30T22:59:59Z
-42.763	294.97	Puerto Madryn	Argentina	32	7310	731	191	madry	2018-12-31T22:59:59Z
-42.55	147.933	Spring Bay	Australia	36	3350	335	56	sprg	2021-12-31T22:59:59Z
-41.483	287.033	Puerto Montt	Chile	152	6840	684	178	pmon	2018-12-31T22:59:59Z
-41.283	174.783	Wellington	New Zealand	554	710	71	101	wlgt	2019-12-30T22:59:59Z
-38.712	77.538	Saint Paul	France	250	1790	179	24	stpa	2006-12-23T22:59:59Z
-38.343	141.613	Portland, S.Aus.	Australia	36	1290	129	55	porl	2021-12-31T22:59:59Z
-38.035	302.462	Mar del Plata	Argentina	32	7290	729	192	plat	2018-12-31T22:59:59Z
-34.183	18.433	Simon's Town	South Africa	710	2210	221	268	sitin	2018-12-30T22:59:59Z
-34.083	23.05	Knysna	South Africa	710	1860	186		knys	2016-12-30T22:59:59Z
-34.067	22.333	Mossel Bay	South Africa	710	1850	185		moss	2016-12-30T22:59:59Z
-33.96	25.63	Port Elizabeth	South Africa	710	1840	184	76	prte	2018-12-30T22:59:59Z
-33.9	18.417	Cape Town	South Africa	710	7040	704		cape	2014-12-31T22:59:59Z
-33.867	121.9	Esperance	Australia	36	1760	176	54	espe	2021-12-31T22:59:59Z
-33.85	151.233	Fort Denison	Australia	36	3330	333	57	sydn	2021-12-31T22:59:59Z
-33.622	281.167	Juan Fernandez	Chile	152	210	21	176	juan	2018-12-31T22:59:59Z
-33.033	288.367	Valparaiso	Chile	152	810	81	175	valp	2018-12-31T22:59:59Z
-33.017	17.95	Saldahna Bay	South Africa	710	7030	703		sald	2016-08-20T22:59:59Z
-33.0	27.917	East London	South Africa	710	1870	187		ealo	2016-12-30T22:59:59Z
-32.15	133.64	Thevenard	Australia	36	1280	128	308	thev	2021-12-31T22:59:59Z
