latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	version	gloss_id	ssc_id	decimation_method	reference_code	reference_offset
-77.85	166.75	Scott Base	New Zealand	554	6631	663	A	134	scot	1	R	0
-69.0	39.6	Syowa, Antarctica	Antarctica	10	1271	127	A	95	syow	1	R	0
-68.45	77.967	Davis	Australia	36	1731	173	A	277	davi	1	R	0
-68.133	292.9	San Martin	Argentina	32	6811	681	A		sanma	1	R	0
-68.133	292.9	San Martin	Argentina	32	6812	681	B		sanma	1	R	0
-68.133	292.9	San Martin	Argentina	32	6813	681	C		sanma	1	R	0
-67.6	62.867	Mawson	Australia	36	1771	177	A	22	maws	1	R	0
-67.567	291.867	Rothera	United Kingdom of Great Britain and Northern Ireland (the)	826	8321	832	A	342	roth	1	R	0
-66.662	140.01	Dumont d'Urville	Antarctica	10	1891	189	A	131	dumo	1	R	0
-66.283	110.533	Casey	Australia	36	1301	130	A	278	case	1	R	0
-65.25	295.733	Faraday	Antarctica	10	7001	700	A	188	vern	1	R	0
-63.395	303.005	Esperanza	Argentina	32	6011	601	A	185	espr	1	R	0
-62.483	300.367	Base Prat	Chile	152	7301	730	A	189	prat	1	R	0
-62.478	300.335	Base Prat	Chile	152	7302	730	B	189	prat	1	R	0
-62.233	301.317	Dallmann	Argentina	32	6821	682	A		dall	1	R	0
-62.233	301.317	Dallmann	Argentina	32	6822	682	B		dall	1	R	0
-62.233	301.317	Dallmann	Argentina	32	6823	682	C		dall	1	R	0
-56.508	291.285	Diego Ramirez	Chile	152	5991	599	A	180	dieg	1	R	0
-54.933	292.383	Puerto Williams	Chile	152	2871	287	A		pwil	1	X	0
-54.805	291.705	Ushuaia	Argentina	32	6001	600	A	181	ushu	1	R	0
-54.483	158.967	Macquarie Is.	Australia	36	6801	680	A	130	macq	1	R	0
-54.483	158.967	Macquarie Is.	Australia	36	6802	680	B	130	macq	1	X	0
-54.483	158.967	Macquarie Is.	Australia	36	6803	680	C	130	macq	1	R	0
-52.7	302.133	Port Stanley	United Kingdom of Great Britain and Northern Ireland (the)	826	2901	290	A	305	stan	1	R	0
-51.75	302.067	Port Stanley	United Kingdom of Great Britain and Northern Ireland (the)	826	2902	290	B	305	stan	1	R	0
-49.345	70.22	Kerguelen	France	250	1801	180	A	23	kerg	1	R	0
-47.753	294.085	Puerto Deseado	Argentina	32	2862	286	B	190	dese	1	R	0
-47.75	294.083	Puerto Deseado	Argentina	32	2861	286	A	190	dese	1	R	0
-46.6	168.35	Bluff	New Zealand	554	721	72	A	129	bluf	1	R	0
-46.425	51.87	Crozet	France	250	1781	178	A	21	croz	1	R	0
-46.425	51.87	Crozet	France	250	1782	178	B	21	croz	1	R	0
-45.817	170.65	Port Chalmers	New Zealand	554	6691	669	A		otat	1	R	0
