uhslc_id,latitude,longitude,station_name,station_country,station_country_code,gloss_id,station_country_alpha3,hdi
1,6.978,158.197,Pohnpei,Micronesia (Federated States of),583,115,FSM,0.614
2,1.332,173.013,"Tarawa, Bairiki",Kiribati,296,113,KIR,0.642
3,-0.437,269.715,Baltra,Ecuador,218,169,ECU,0.773
4,-0.532,166.91,Nauru,Nauru,520,114,NRU,0.7
5,7.107,171.373,Majuro,Marshall Islands (the),584,112,MHL,0.732
6,11.43,162.387,Enewetok,Marshall Islands (the),584,-1,MHL,0.732
7,7.333,134.483,Malakal,Palau,585,120,PLW,0.786
8,9.508,138.128,Yap,Micronesia (Federated States of),583,119,FSM,0.614
9,-9.425,159.957,Honiara,Solomon Islands,90,66,SLB,0.583
10,-4.2,152.175,Rabaul,Papua New Guinea,598,65,PNG,0.572
11,1.985,202.523,Christmas,Kiribati,296,146,KIR,0.642
12,3.857,200.635,Fanning,Kiribati,296,-1,KIR,0.642
13,-2.81,188.282,Kanton,Kiribati,296,145,KIR,0.642
14,23.867,193.71,French Frigate,United States of America (the),840,107,USA,0.93
15,-17.525,210.433,Papeete,France,250,140,FRA,0.916
16,-23.125,225.047,Rikitea,France,250,138,FRA,0.916
17,-9.81,220.973,Hiva Oa,France,250,-1,FRA,0.916
18,-18.132,178.427,Suva,Fiji,242,122,FJI,0.726
19,-22.242,166.417,Noumea,France,250,123,FRA,0.916
21,-33.622,281.167,Juan Fernandez,Chile,152,176,CHL,0.869
22,-27.15,250.552,Easter,Chile,152,137,CHL,0.869
23,-21.207,200.225,Rarotonga,Cook Islands (the),184,139,COK,0.933
24,-8.977,201.947,Penrhyn,Cook Islands (the),184,143,COK,0.933
25,-8.525,179.195,Funafuti,Tuvalu,798,121,TUV,0.686
26,21.295,202.138,"Honolulu, Kewalo",United States of America (the),840,108,USA,0.93
27,21.318,202.115,"Honolulu, Pier 45",United States of America (the),840,108,USA,0.93
28,15.227,145.742,Saipan,United States of America (the),840,118,USA,0.93
29,1.098,154.777,Kapingamarangi,Micronesia (Federated States of),583,117,FSM,0.614
30,-0.753,269.688,Santa Cruz,Ecuador,218,-1,ECU,0.773
31,-8.93,219.918,Nuku Hiva,France,250,142,FRA,0.916
33,1.438,125.19,Bitung,Indonesia,360,69,IDN,0.726
34,22.88,250.092,Cabo San Lucas,Mexico,484,161,MEX,0.783
35,-26.292,279.892,San Felix,Chile,152,177,CHL,0.869
36,28.883,241.7,Guadalupe,Mexico,484,160,MEX,0.783
37,13.428,144.797,"Pago Bay, Guam",United States of America (the),840,-1,USA,0.93
38,-21.133,184.833,Nuku'alofa,Tonga,776,125,TON,0.764
39,57.732,207.488,"Kodiak Isl., Alaska",United States of America (the),840,-1,USA,0.93
40,51.858,183.365,"Adak, Alaska",United States of America (the),840,302,USA,0.93
41,53.88,193.462,"Dutch Harbor, AK",United States of America (the),840,102,USA,0.93
43,5.888,197.917,Palmyra Island,United States of America (the),840,-1,USA,0.93
45,-0.383,199.967,Jarvis,United States of America (the),840,-1,USA,0.93
46,-17.733,168.317,Port Vila,Vanuatu,548,348,VUT,0.621
47,27.1,142.183,Chichijima,Japan,392,103,JPN,0.921
48,-6.183,155.883,Anewa Bay,Papua New Guinea,598,-1,PNG,0.572
49,24.3,153.967,Minamitorishima,Japan,392,104,JPN,0.921
50,28.217,182.633,Midway,United States of America (the),840,106,USA,0.93
51,19.283,166.617,Wake,United States of America (the),840,105,USA,0.93
52,16.738,190.47,Johnston,United States of America (the),840,109,USA,0.93
53,13.433,144.65,"Apra Harbor, Guam",United States of America (the),840,149,USA,0.93
54,7.453,151.898,Chuuk,Micronesia (Federated States of),583,116,FSM,0.614
55,8.733,167.733,Kwajalein,Marshall Islands (the),584,111,MHL,0.732
56,-14.283,189.317,Pago Pago,American Samoa,16,144,ASM,0.93
57,21.307,202.133,"Honolulu, Hawaii",United States of America (the),840,108,USA,0.93
58,21.967,200.65,Nawiliwili,United States of America (the),840,-1,USA,0.93
59,20.9,203.533,Kahului,United States of America (the),840,-1,USA,0.93
60,19.733,204.933,"Hilo, Hawaii",United States of America (the),840,287,USA,0.93
61,21.433,202.2,Mokuoloe,United States of America (the),840,-1,USA,0.93
62,-29.067,167.95,Norfolk Island,Australia,36,124,AUS,0.952
63,-3.57,143.633,Wewak,Papua New Guinea,598,-1,PNG,0.572
64,-9.478,147.14,Port Moresby,Papua New Guinea,598,-1,PNG,0.572
65,-2.013,147.272,Manus,Papua New Guinea,598,331,PNG,0.572
66,-5.2,145.8,Madang,Papua New Guinea,598,-1,PNG,0.572
67,-6.733,146.983,Lae,Papua New Guinea,598,-1,PNG,0.572
68,-2.585,150.795,Kavieng,Papua New Guinea,598,-1,PNG,0.572
69,-10.317,150.453,Alotau,Papua New Guinea,598,63,PNG,0.572
70,-36.85,174.767,Auckland,New Zealand,554,127,NZL,0.933
71,-41.283,174.783,Wellington,New Zealand,554,101,NZL,0.933
72,-46.6,168.35,Bluff,New Zealand,554,129,NZL,0.933
73,-37.65,176.183,Tauranga,New Zealand,554,-1,NZL,0.933
74,-41.733,171.6,West Port,New Zealand,554,-1,NZL,0.933
75,-39.947,174.99,Wanganui,New Zealand,554,-1,NZL,0.933
76,-39.05,174.033,Taranaki,New Zealand,554,-1,NZL,0.933
77,-41.267,173.267,Nelson,New Zealand,554,-1,NZL,0.933
78,-38.683,178.033,Gisborne,New Zealand,554,-1,NZL,0.933
79,-43.947,183.438,Chatham,New Zealand,554,128,NZL,0.933
80,-23.653,289.595,Antofagasta,Chile,152,174,CHL,0.869
81,-33.033,288.367,Valparaiso,Chile,152,175,CHL,0.869
82,13.583,270.167,Acajutla,El Salvador,222,182,SLV,0.674
83,-18.467,289.667,Arica,Chile,152,-1,CHL,0.869
84,-6.933,279.283,Lobos de Afuera,Peru,604,-1,PER,0.79
85,3.89,282.938,Buenaventura,Colombia,170,170,COL,0.782
86,13.333,272.183,La Union,El Salvador,222,-1,SLV,0.674
87,9.4,275.833,Quepos,Costa Rica,188,167,CRI,0.823
88,-27.067,289.167,Caldera,Chile,152,-1,CHL,0.869
89,-0.95,279.267,Manta,Ecuador,218,-1,ECU,0.773
90,18.733,248.983,Socorro,Mexico,484,162,MEX,0.783
91,-2.2,279.083,La Libertad,Ecuador,218,172,ECU,0.773
92,-4.582,278.718,Talara,Peru,604,-1,PER,0.79
93,-12.05,282.85,Callao,Peru,604,173,PER,0.79
94,-17.002,287.892,Matarani,Peru,604,-1,PER,0.79
96,-15.367,284.8,San Juan,Peru,604,-1,PER,0.79
98,0.992,280.353,Esmeraldas,Ecuador,218,-1,ECU,0.773
100,-35.108,138.467,Port Stanvac,Australia,36,-1,AUS,0.952
101,-4.07,39.657,Mombasa,Kenya,404,8,KEN,0.626
102,-6.82,39.288,Dar Es Salaam,"Tanzania, United Republic of",834,-1,TZA,0.554
103,-20.155,57.495,Port Louis,Mauritius,480,18,MUS,0.794
104,-7.29,72.393,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),826,26,GBR,0.946
105,-19.668,63.418,Rodrigues,Mauritius,480,19,MUS,0.794
106,-4.343,55.767,Praslin,Seychelles,690,-1,SYC,0.836
107,-0.95,100.367,Padang,Indonesia,360,45,IDN,0.726
108,4.183,73.517,Male,Maldives,462,-1,MDV,0.764
109,-0.687,73.152,Gan,Maldives,462,27,MDV,0.764
110,23.628,58.565,Muscat,Oman,512,-1,OMN,0.846
111,-4.622,55.458,Port Victoria,Seychelles,690,339,SYC,0.836
113,20.687,58.872,Masirah,Oman,512,-1,OMN,0.846
114,16.935,54.007,Salalah,Oman,512,4,OMN,0.846
115,6.933,79.85,Colombo,Sri Lanka,144,33,LKA,0.777
117,6.767,73.167,Hanimaadhoo,Maldives,462,-1,MDV,0.764
118,8.567,97.633,Ko Miang,Thailand,764,-1,THA,0.792
119,11.608,43.14,Djibouti,Djibouti,262,2,DJI,0.51
121,-4.672,55.528,Pt. La Rue,Seychelles,690,339,SYC,0.836
122,1.75,98.767,Sibolga,Indonesia,360,-1,IDN,0.726
123,5.888,95.317,Sabang,Indonesia,360,347,IDN,0.726
124,22.247,91.825,Chittagong,Bangladesh,50,36,BGD,0.68
125,-8.283,111.733,Prigi,Indonesia,360,-1,IDN,0.726
126,25.63,57.77,Jask,Iran (Islamic Republic of),364,-1,IRN,0.793
127,-69.0,39.6,"Syowa, Antarctica",Antarctica,10,95,ATA,
128,-32.15,133.64,Thevenard,Australia,36,308,AUS,0.952
129,-38.343,141.613,"Portland, S.Aus.",Australia,36,55,AUS,0.952
130,-66.283,110.533,Casey,Australia,36,278,AUS,0.952
132,-31.825,115.738,Hillarys,Australia,36,-1,AUS,0.952
133,-3.638,128.2,Ambon,Indonesia,360,68,IDN,0.726
134,21.783,89.467,Hiron Point,Bangladesh,50,-1,BGD,0.68
135,22.267,91.817,Khal #10,Bangladesh,50,-1,BGD,0.68
136,21.45,91.833,Cox's Bazaar,Bangladesh,50,-1,BGD,0.68
137,20.883,92.3,Teknaf,Bangladesh,50,-1,BGD,0.68
138,22.217,91.05,Charchanga,Bangladesh,50,-1,BGD,0.68
139,21.833,89.833,Khepupara,Bangladesh,50,-1,BGD,0.68
140,3.05,101.358,Kelang,Malaysia,458,-1,MYS,0.81
141,2.215,102.153,Keling,Malaysia,458,-1,MYS,0.81
142,6.432,99.765,Langkawi,Malaysia,458,-1,MYS,0.81
143,4.24,100.613,Lumut,Malaysia,458,43,MYS,0.81
144,5.422,100.347,Penang,Malaysia,458,-1,MYS,0.81
145,-13.86,136.417,Groote Eylandt,Australia,36,-1,AUS,0.952
147,24.8,66.967,Karachi,Pakistan,586,30,PAK,0.544
148,7.832,98.425,Ko Taphao Noi,Thailand,764,42,THA,0.792
149,-2.272,40.903,Lamu,Kenya,404,-1,KEN,0.626
150,-13.4,48.3,Nosy Be,Madagascar,450,15,MDG,0.483
151,-6.155,39.19,Zanzibar,"Tanzania, United Republic of",834,297,TZA,0.554
153,8.117,73.05,Minicoy,India,356,29,IND,0.676
155,-12.78,45.257,Dzaoudzi,France,250,96,FRA,0.916
157,17.683,83.283,Vishakhapatnam,India,356,35,IND,0.676
158,-8.117,114.383,Meneng,Indonesia,360,-1,IDN,0.726
159,-5.85,106.617,Pari,Indonesia,360,-1,IDN,0.726
160,-7.208,112.725,Surabaya,Indonesia,360,292,IDN,0.726
161,-6.117,106.85,Jakarta,Indonesia,360,-1,IDN,0.726
162,-7.752,109.017,Cilicap,Indonesia,360,291,IDN,0.726
163,-8.745,115.21,Benoa,Indonesia,360,49,IDN,0.726
164,-20.935,55.285,Reunion,France,250,17,FRA,0.916
165,-15.453,128.102,Wyndham,Australia,36,-1,AUS,0.952
166,-18.0,122.217,Broome,Australia,36,40,AUS,0.952
167,-24.898,113.652,Carnarvon,Australia,36,52,AUS,0.952
168,-12.472,130.847,Darwin,Australia,36,62,AUS,0.952
169,-20.317,118.567,Port Hedland,Australia,36,51,AUS,0.952
170,-10.417,105.667,Christmas,Australia,36,47,AUS,0.952
171,-12.117,96.9,Cocos,Australia,36,46,AUS,0.952
172,12.788,44.975,Aden,Yemen,887,3,YEM,0.466
173,-68.45,77.967,Davis,Australia,36,277,AUS,0.952
174,9.967,76.267,Cochin,India,356,32,IND,0.676
175,-32.05,115.733,Fremantle,Australia,36,53,AUS,0.952
176,-33.867,121.9,Esperance,Australia,36,54,AUS,0.952
177,-67.6,62.867,Mawson,Australia,36,22,AUS,0.952
178,-46.425,51.87,Crozet,France,250,21,FRA,0.916
179,-38.712,77.538,Saint Paul,France,250,24,FRA,0.916
180,-49.345,70.22,Kerguelen,France,250,23,FRA,0.916
181,-29.867,31.05,Durban,South Africa,710,13,ZAF,0.737
182,26.233,50.6,Mina Sulman,Bahrain,48,-1,BHR,0.902
184,-33.96,25.63,Port Elizabeth,South Africa,710,76,ZAF,0.737
185,-34.067,22.333,Mossel Bay,South Africa,710,-1,ZAF,0.737
186,-34.05,23.045,Knysna,South Africa,710,-1,ZAF,0.737
187,-33.017,27.917,East London,South Africa,710,-1,ZAF,0.737
188,-28.8,32.083,Richard's Bay,South Africa,710,-1,ZAF,0.737
189,-66.662,140.01,Dumont d'Urville,Antarctica,10,131,ATA,
190,-25.975,32.57,Maputo,Mozambique,508,-1,MOZ,0.49
191,-16.232,39.902,Antonio Enes,Mozambique,508,-1,MOZ,0.49
192,-12.968,40.487,Pemba,Mozambique,508,11,MOZ,0.49
193,-14.463,40.68,Nacala,Mozambique,508,-1,MOZ,0.49
201,0.92,330.657,Peter & Paul Rocks,Brazil,76,199,BRA,0.78
202,-5.752,324.805,Natal,Brazil,76,197,BRA,0.78
203,-3.828,327.597,Fer. de Noronha,Brazil,76,198,BRA,0.78
204,-20.503,330.69,Trindade,Brazil,76,265,BRA,0.78
205,28.95,346.433,Arrecife,Spain,724,-1,ESP,0.911
206,28.683,342.25,S.Cruz d. Palma,Spain,724,-1,ESP,0.911
207,35.9,354.683,Ceuta,Spain,724,249,ESP,0.911
208,42.233,351.267,Vigo,Spain,724,-1,ESP,0.911
209,38.692,350.583,Cascais,Portugal,620,246,PRT,0.883
210,39.453,328.88,"Flores, Santa Cruz",Portugal,620,244,PRT,0.883
211,37.735,334.328,Ponta Delgada,Portugal,620,245,PRT,0.883
212,38.533,331.378,"Horta, Azores",Portugal,620,-1,PRT,0.883
213,39.378,328.832,"Flores, Lajes",Portugal,620,244,PRT,0.883
214,18.317,295.277,"Lameshur Bay, VI",United States of America (the),840,-1,USA,0.93
215,38.65,332.76,Angra Heroismo,Portugal,620,-1,PRT,0.883
216,16.867,335.017,Porto Grande,Portugal,620,-1,PRT,0.883
217,28.148,344.593,Las Palmas,Spain,724,251,ESP,0.911
218,32.64,343.093,Funchal,Portugal,620,250,PRT,0.883
219,18.3,294.698,"Culebra, PR",United States of America (the),840,-1,USA,0.93
220,-22.95,14.5,Walvis Bay,Namibia,516,314,NAM,0.649
221,-34.183,18.433,Simon's Town,South Africa,710,268,ZAF,0.737
222,14.908,336.492,"Praia, Cape Verde",Cabo Verde,132,-1,CPV,0.664
223,14.677,342.58,Dakar,Senegal,686,253,SEN,0.526
225,0.348,6.737,Sao Tome,Sao Tome and Principe,678,260,STP,0.636
227,4.85,307.717,Cayenne,France,250,202,FRA,0.916
228,28.478,343.76,Tenerife,Spain,724,-1,ESP,0.911
229,-1.45,311.5,"Belem, USCGS",Brazil,76,-1,BRA,0.78
230,5.242,356.0,Abidjanridi,Cote d'Ivoire,384,257,CIV,0.565
231,4.883,358.25,Takoradi,Ghana,288,335,GHA,0.625
233,6.423,3.412,Lagos,Nigeria,566,259,NGA,0.557
234,-4.8,11.85,Pointe Noire,Congo (the),178,261,COG,0.644
235,16.75,337.017,Palmeira,Cabo Verde,132,329,CPV,0.664
236,-8.787,13.237,Luanda,Angola,24,-1,AGO,0.615
237,-12.333,13.558,Lobito,Angola,24,262,AGO,0.615
238,-15.192,12.145,Mocamedes,Angola,24,-1,AGO,0.615
239,23.092,277.528,Siboney,Cuba,192,215,CUB,0.764
240,30.672,278.533,Fernandina Beach,United States of America (the),840,-1,USA,0.93
241,25.903,279.88,Miami,United States of America (the),840,218,USA,0.93
242,24.553,278.192,"Key West, FL",United States of America (the),840,216,USA,0.93
243,17.972,293.238,"Penuelas, PR",Puerto Rico,630,-1,PRI,0.93
244,21.117,283.883,Gibara,Cuba,192,276,CUB,0.764
245,18.46,293.883,"San Juan, PR",United States of America (the),840,206,USA,0.93
246,17.972,292.953,"Magueyes Island, PR",United States of America (the),840,-1,USA,0.93
247,10.617,293.067,La Guaira,Venezuela (Bolivarian Republic of),862,328,VEN,0.706
248,10.65,298.483,Portf-Spain,Trinidad and Tobago,780,203,TTO,0.805
249,13.1,300.383,Bridgetown,Barbados,52,-1,BRB,0.807
250,19.2,263.867,"Veracruz, Ver.",Mexico,484,212,MEX,0.783
251,19.907,284.853,Guantanamo Bay,Cuba,192,-1,CUB,0.764
252,43.657,289.753,"Portland, ME",United States of America (the),840,-1,USA,0.93
253,41.505,288.673,"Newport, RI",United States of America (the),840,290,USA,0.93
254,17.697,295.247,Limetree Bay,United States of America (the),840,-1,USA,0.93
255,18.335,295.08,Charlotte Amalie,United States of America (the),840,-1,USA,0.93
256,23.773,283.895,Exuma Cays,Bahamas (the),44,12,BHS,0.818
257,26.69,281.017,Settlement Point,Bahamas (the),44,211,BHS,0.818
258,17.75,295.295,"Christiansted, VI",United States of America (the),840,-1,USA,0.93
259,32.373,295.297,Bermuda,United Kingdom of Great Britain and Northern Ireland (the),826,221,GBR,0.946
260,36.183,284.26,"Duck Pier, NC",United States of America (the),840,219,USA,0.93
261,32.783,280.067,"Charleston, SC",United States of America (the),840,-1,USA,0.93
262,29.857,278.738,"St. Augustine, FL",United States of America (the),840,-1,USA,0.93
263,18.457,292.837,"Aguadilla, PR",United States of America (the),840,-1,USA,0.93
264,39.355,285.582,Atlantic City,United States of America (the),840,220,USA,0.93
265,10.383,284.467,Cartagena,Colombia,170,207,COL,0.782
266,9.355,280.085,Cristobal,Panama,591,208,PAN,0.835
267,18.09,292.062,"Mona Is., PR",United States of America (the),840,-1,USA,0.93
268,10.0,276.967,Limon,Costa Rica,188,-1,CRI,0.823
269,15.953,273.5,Cochino Pequeno,Honduras,340,-1,HND,0.643
270,14.683,299.067,Le Robert,France,250,-1,FRA,0.916
271,14.6,298.933,Fort de France,France,250,-1,FRA,0.916
272,16.225,298.468,Pointe-Pitre,France,250,-1,FRA,0.916
273,47.567,300.867,Port-aux-basques,Canada,124,-1,CAN,0.935
274,58.783,265.8,Churchill,Canada,124,-1,CAN,0.935
275,44.667,296.417,Halifax,Canada,124,222,CAN,0.935
276,47.567,307.283,St. John's,Canada,124,223,CAN,0.935
277,22.262,262.205,"Madero, Tampico",Mexico,484,-1,MEX,0.783
279,41.048,288.04,"Montauk, NY",United States of America (the),840,-1,USA,0.93
280,-22.897,316.835,"Ilha Fiscal, RJ",Brazil,76,195,BRA,0.78
281,-25.017,312.075,Cananeia,Brazil,76,194,BRA,0.78
282,-23.5,314.883,Ubatuba,Brazil,76,-1,BRA,0.78
283,-3.717,321.533,Fortaleza,Brazil,76,336,BRA,0.78
284,-4.817,322.95,Termisa,Brazil,76,-1,BRA,0.78
285,-34.667,301.5,Buenos Aires,Argentina,32,-1,ARG,0.858
286,-47.75,294.083,Puerto Deseado,Argentina,32,190,ARG,0.858
287,-54.933,292.383,Puerto Williams,Chile,152,-1,CHL,0.869
288,64.15,338.067,Reykjavik,Iceland,352,229,ISL,0.964
289,36.117,354.65,Gibraltar,United Kingdom of Great Britain and Northern Ireland (the),826,248,GBR,0.946
290,-51.75,302.067,Port Stanley,United Kingdom of Great Britain and Northern Ireland (the),826,305,GBR,0.946
291,-7.917,345.583,Ascension,United Kingdom of Great Britain and Northern Ireland (the),826,263,GBR,0.946
292,-15.917,354.283,St. Helena,"Saint Helena, Ascension and Tristan da Cunha",654,264,SHN,0.946
293,60.155,358.86,Lerwick,United Kingdom of Great Britain and Northern Ireland (the),826,236,GBR,0.946
294,50.102,354.458,"Newlyn, Cornwall",United Kingdom of Great Britain and Northern Ireland (the),826,241,GBR,0.946
295,58.208,353.612,Stornoway,United Kingdom of Great Britain and Northern Ireland (the),826,238,GBR,0.946
296,66.933,306.333,Sisimiut,Denmark,208,-1,DNK,0.959
297,65.615,322.375,Ammassalik,Denmark,208,228,DNK,0.959
298,69.217,308.9,Ilulissat,Denmark,208,-1,DNK,0.959
299,60.717,313.967,Qaqortoq,Denmark,208,344,DNK,0.959
300,8.917,280.467,Naos,Panama,591,-1,PAN,0.835
301,13.917,269.17,Puerto Quetza,Guatemala,320,-1,GTM,0.655
302,8.962,280.427,Balboa,Panama,591,168,PAN,0.835
303,1.817,281.27,Tumaco,Colombia,170,171,COL,0.782
304,8.273,277.14,Puerto Armuelles,Panama,591,-1,PAN,0.835
305,28.1,244.817,Cedros,Mexico,484,-1,MEX,0.783
307,31.018,245.182,San Felipe,Mexico,484,-1,MEX,0.783
308,30.483,244.017,San Quintin,Mexico,484,-1,MEX,0.783
310,28.958,246.45,Bahia Los Angeles,Mexico,484,-1,MEX,0.783
313,33.45,241.517,Catalina,United States of America (the),840,-1,USA,0.93
316,16.84,260.088,"Acapulco, Gro.",Mexico,484,267,MEX,0.783
317,31.85,243.367,Ensenada,Mexico,484,-1,MEX,0.783
318,14.717,267.567,Puerto Madero,Mexico,484,-1,MEX,0.783
319,26.017,248.633,Loreto,Mexico,484,-1,MEX,0.783
320,5.265,103.187,Cendering,Malaysia,458,293,MYS,0.81
321,1.462,103.792,Johor Baharu,Malaysia,458,-1,MYS,0.81
322,3.975,103.43,Kuantan,Malaysia,458,-1,MYS,0.81
323,2.807,104.14,Tioman,Malaysia,458,-1,MYS,0.81
324,1.932,104.115,Sedili,Malaysia,458,-1,MYS,0.81
325,1.325,103.443,Kukup,Malaysia,458,-1,MYS,0.81
326,6.227,102.107,Geting,Malaysia,458,-1,MYS,0.81
327,1.263,103.822,Keppel Harbour,Singapore,702,44,SGP,0.942
328,11.795,99.817,Ko Lak,Thailand,764,39,THA,0.792
329,22.3,114.217,Hong Kong,Hong Kong,344,77,HKG,0.95
330,-23.162,150.79,Rosslyn Bay,Australia,36,-1,AUS,0.952
331,-27.367,153.167,Brisbane,Australia,36,58,AUS,0.952
332,-24.767,152.38,Bundaberg,Australia,36,59,AUS,0.952
333,-33.85,151.233,Fort Denison,Australia,36,57,AUS,0.952
334,-19.25,146.833,Townsville,Australia,36,60,AUS,0.952
335,-42.55,147.933,Spring Bay,Australia,36,56,AUS,0.952
336,-10.6,141.917,Booby Island,Australia,36,61,AUS,0.952
337,1.263,103.822,Victoria Dock,Singapore,702,44,SGP,0.942
338,22.167,113.55,Macau,Portugal,620,-1,PRT,0.883
339,-42.877,147.342,Hobart,Australia,36,-1,AUS,0.952
340,22.615,120.288,Kaohsiung,Taiwan (Province of China),158,-1,TWN,
341,25.155,121.752,Keelung,Taiwan (Province of China),158,-1,TWN,
342,-34.473,150.912,Port Kembla,Australia,36,-1,AUS,0.952
343,-19.277,147.058,Cape Ferguson,Australia,36,60,AUS,0.952
344,-41.05,145.915,Burnie,Australia,36,-1,AUS,0.952
345,29.833,129.85,Nakano Shima,Japan,392,-1,JPN,0.921
347,44.017,144.283,Abashiri,Japan,392,327,JPN,0.921
348,34.9,132.067,Hamada,Japan,392,326,JPN,0.921
349,36.767,137.217,Toyama,Japan,392,325,JPN,0.921
350,42.967,144.383,Kushiro,Japan,392,89,JPN,0.921
351,39.017,141.75,Ofunato,Japan,392,87,JPN,0.921
352,34.917,139.833,Mera,Japan,392,86,JPN,0.921
353,33.483,135.767,Kushimoto,Japan,392,85,JPN,0.921
354,31.567,131.417,Aburatsu,Japan,392,82,JPN,0.921
355,26.217,127.667,Naha,Japan,392,81,JPN,0.921
356,34.683,137.617,Maisaka,Japan,392,-1,JPN,0.921
357,34.067,139.482,Miyakejima,Japan,392,-1,JPN,0.921
358,32.417,131.683,Hosojima,Japan,392,-1,JPN,0.921
359,28.4,129.498,Naze,Japan,392,-1,JPN,0.921
360,45.4,141.683,Wakkanai,Japan,392,324,JPN,0.921
362,32.733,129.867,Nagasaki,Japan,392,83,JPN,0.921
363,30.735,130.992,Nishinoomote,Japan,392,-1,JPN,0.921
364,41.783,140.717,Hakodate,Japan,392,88,JPN,0.921
365,24.333,124.15,Ishigaki,Japan,392,-1,JPN,0.921
370,14.583,120.967,Manila,Philippines (the),608,73,PHL,0.714
371,13.15,123.75,Legaspi,Philippines (the),608,72,PHL,0.714
